x_U2F8 x_UF3 x_UF4 x_U[VII]-F4 x_U[VI]-F4 
0 0.00245696 0.0470894 0 0 
0 0.00245431 0.0470874 0 0 
0 0.00245165 0.0470854 0 0 
0 0.00244921 0.0470838 0 0 
0 0.00244662 0.047081 0 0 
0 0.00244397 0.047079 0 0 
0 0.00244145 0.0470769 0 0 
0 0.0024388 0.0470748 0 0 
0 0.00243635 0.0470721 0 0 
0 0.00243389 0.0470713 0 0 
0 0.00243125 0.0470693 0 0 
0 0.00242873 0.0470663 0 0 
0 0.00242623 0.0470643 0 0 
0 0.00242359 0.0470623 0 0 
0 0.00242109 0.0470603 0 0 
0 0.00241853 0.0470579 0 0 
0 0.00241616 0.0470559 0 0 
0 0.0024136 0.0470537 0 0 
0 0.00241096 0.047051 0 0 
0 0.00240847 0.0470489 0 0 
0 0.00240597 0.0470469 0 0 
0 0.00240347 0.0470441 0 0 
0 0.00240087 0.0470424 0 0 
0 0.00239835 0.0470412 0 0 
0 0.0023958 0.0470392 0 0 
0 0.00239344 0.0470364 0 0 
0 0.00239089 0.0470344 0 0 
0 0.00238834 0.0470323 0 0 
0 0.00238581 0.0470307 0 0 
0 0.00238339 0.0470277 0 0 
0 0.00238085 0.0470257 0 0 
0 0.00237831 0.0470236 0 0 
0 0.00237584 0.0470216 0 0 
0 0.00237343 0.0470188 0 0 
0 0.00237089 0.0470168 0 0 
0 0.00236838 0.0470151 0 0 
0 0.00236584 0.0470122 0 0 
0 0.00236334 0.047011 0 0 
0 0.00236095 0.047009 0 0 
0 0.00235848 0.0470069 0 0 
0 0.00235595 0.0470041 0 0 
0 0.00235351 0.0470025 0 0 
0 0.00235112 0.0470005 0 0 
0 0.0023486 0.0469976 0 0 
0 0.00234614 0.0469955 0 0 
0 0.00234356 0.0469934 0 0 
0 0.00234125 0.0469914 0 0 
0 0.00233879 0.0469886 0 0 
0 0.0023363 0.0469869 0 0 
0 0.00233386 0.0469848 0 0 
